Output_sne,lat,lng,Country_Code,Type,Population,Desamb_Phase,input_sne,source
London,51.50853,-0.12574,GB,P,8961989,fuzzySWHighMatch1,London,doc
Old England,17.98503,-77.46017,JM,A,4288,fuzzySWHighMatch2,England,doc
United Kingdom,54.75844,-2.69531,GB,A,66488991,fuzzySWHighMatch1,United Kingdom,doc
London,37.12898,-84.08326,US,P,8126,fuzzyMWPartialMatch,Central London,doc
Soho,39.88778,124.35306,KP,P,0,fuzzySWHighMatch1,Soho,doc
West End,26.68711,-78.97702,BS,P,12724,fuzzySWHighMatch1,West End,doc
Camden,39.92595,-75.11962,US,P,76119,fuzzySWHighMatch1,Camden,doc
Kensington,-33.92019,151.22241,AU,P,15021,fuzzySWHighMatch1,Kensington,doc
Brixton,51.46593,-0.10652,GB,P,66300,fuzzySWHighMatch1,Brixton,doc
London,37.12898,-84.08326,US,P,8126,fuzzyMWPartialMatch,South London,doc
Brighton,50.82838,-0.13947,GB,P,277103,fuzzySWHighMatch1,Brighton,doc
White Cliffs,-30.8521,143.08862,AU,P,194,fuzzySWHighMatch1,White Cliffs Of,doc
Kent,39.09595,-75.50461,US,A,181851,fuzzySWHighMatch1,Kent,doc
Bath,51.3751,-2.36172,GB,P,101557,fuzzySWHighMatch1,Bath,doc
Oxford,51.75222,-1.25596,GB,P,162100,fuzzySWHighMatch1,Oxford,doc
Cambridge,52.2,0.11667,GB,P,145674,HighPopInEquality,Cambridge,doc
